Адрес,2ГИС
ул.Навои 308/11,https://go.2gis.com/783vu
Назарбаева  237,https://go.2gis.com/tx34c
Назарбаева  237А,https://go.2gis.com/k0vgb
Назарбаева  241,https://go.2gis.com/98xe26
Назарбаева  243,https://go.2gis.com/vcr69
Назарбаева  245,https://go.2gis.com/ofdze
ул.Панфилова 201,https://go.2gis.com/i2qe5
ул.Панфилова 203,https://go.2gis.com/uuj0mf
ул.Тимирязева 27,https://go.2gis.com/mjvwpy
ул.Тимирязева 29,https://go.2gis.com/angfa
ул.Тимирязева 31,https://go.2gis.com/t5xn6m
ул.Тимирязева 33,https://go.2gis.com/yuao7
ул.Тимирязева 34,https://go.2gis.com/d8o3sf
Редько 14,https://go.2gis.com/sgn98x
Редько 16,https://go.2gis.com/4jh43
Кенесары хана 113/3,https://go.2gis.com/lwdau
Кенесары хана  115,https://go.2gis.com/axygbb
Кенесары хана 117,https://go.2gis.com/cilra8
Байтурсынова 147,https://go.2gis.com/jrrxl
Байтурсынова 159,https://go.2gis.com/3cjwkg
Володарского 2А,https://go.2gis.com/vktvp
Вахтангова 2,https://go.2gis.com/9pme6
Лебедева 1,https://go.2gis.com/2fznm
Гагарина 238,https://go.2gis.com/ziex4
Гагарина 240,https://go.2gis.com/wo1x9
Радостовца 240/5,https://go.2gis.com/fqunqo
ул.Жандосова 94/1,https://go.2gis.com/uobg7
ул.Жандосова 94/2,https://go.2gis.com/3ksfo
ул.Институт ионосферы 117а,https://go.2gis.com/jcx4r
ул.Институт ионосферы 117б,https://go.2gis.com/ulv2p
ул.Тургут Озала 247/107,https://go.2gis.com/ab4mjv
Вахтангова 18А,https://go.2gis.com/vtqkrv
ул.Ходжанова 55/7,https://go.2gis.com/xcil7
Абая 12Б,https://go.2gis.com/azj60
Нуртазиной (Ынтымак) 31,https://go.2gis.com/3th0y
Баязитовой (Жибек жолы)  15,https://go.2gis.com/tzxgw
Гагарина 234,https://go.2gis.com/1o84j
Тажибаевой Патшайым 159,https://go.2gis.com/l5i7p
Тастемир (Жеруйык) 1,https://go.2gis.com/lgmcr
Жандосова 45А,https://go.2gis.com/mxohv
ул.Ходжанова 55/8,https://go.2gis.com/a47ikr
ул.Ходжанова 55/1,https://go.2gis.com/bxx8v
